ID	X_longitud	Y_Latitude	geo	prefecture	sous_prefecture	commune	Village	ONG	Start	Month	End	Catastrophe naturelle	Violences	Autre	Deplacement de IDPs	Retours	Communaute hoste	Autre	Oui	Non - logistique	Non - securite	Non - autre	Neant	Mission exploratoire	MSA	Intervention	Post Intervention	Autre	Axe	update_me0ge_IDPs	update_ind_idps	update_menage_benef	update_ind_benef	Score_NFI	Proportion_des_menages_qui_habitentdans_un_abri_en_mauvais_etat_nerepondant_pas_aux_standards_locaux	nhabitent_pas_dans_leurs_propres_maisons	familles_daccueil	Pas_dabris	Nombre_moyen_de_m?tre_carre_parpersonne_habitant_un_m?me_abri	Taux_de_diarrhee_chez_les_enfants_de_moins_de_5_ans_au_cours_des_2_dernieres_semaines	latrines_hygieniques	latrines	latrines_non_hygieniques	_lavage_desmains	3_moments_cles	source_deau_?_boire_salubre	acc?s_facile	CSA_General	CSA_Acceptable	Limite	Pauvre	Indice_simplifie_de_strategie_de_survie	1_semaine_et_moins	2_semaines	3_semaines	4_semaines	Plus_de_4_semaines	1_repas	2_repas	3_repas	Variation_repas	Propre_production	Achat_au_Marche	Dons	Aide_alimentaire	Autres	Vente_produit_agricole	Travail_journalier	Petit_commerce_nonagricole	Exploitation_mini?re	Vente_produit_animauxet_de_p?che	Autre	Indice_securite	Proportion_de_cas_de_violences_sexuellessurvenus_dans_un_contexte_lie_?_l’eau_et_?l’assainissement	%_d’ecole_fonctionnelle_dans_la_localite	%_de_salles_de_classe_avec_toiture_ou_mur	Proportion_d’enseignants_qui_encadrent_plus_de55_el?ves	Non_scolarises_%	Taux_de_frequentation	Taux_de_mortalite_des_moins_de_5_ans_pour10.000_enfants_par_jour_(dec?s_10.000_jour)	Taux_brut_de_mortalite_pour_10.000	Diarrhees	Palu	Fi?vre	Toux	IRA	Diarrhees	Palu	Fi?vre	Toux	Malnutrition	diarrhee	paludisme	_IRA	ARV	Medicaments_pour_la_TB	Kwashiorkor	Marasme	Nb_de_guerisons	Nb_dabandons	Nb_de_dec?s	Transfer_UNTA	Violence	Status
ACTED_2014_07	20.654183	5.764845	"5.764845,20.654183"	Ouaka	Bambari	Bambari	Bambari	ACTED	22-07-14	07-2014	22-07-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				456.00	2280.00	0	0	4.2	13	0	0	0	3.5	58	39	0	61	57	9	9	0	0	40.6	37.5	24	0	100	0	0	0	0	94/82	Jun-17	0	1.133333333	1	76	0	0	23	23	14	0	0	0	63	0	0	0	0	0	100	0	0	0	58	65	0	36	0	17	20	0	5	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
ACTED_2014_08	20.654183	5.764845	"5.764845,20.654183"	Ouaka	Bambari	Bambari	Bambari	ACTED	14-06-14	06-2014	15-06-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	FALSE				44.00	219.00	219	1095	4.7	0	100	38	0	1.3	25	0	0	38	5	0	68	62	0	8	26	64	0	99	1	0	0	0	94	6	0	1	5	48	36	4	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	25	39	0	20	0	0	0	0	0	0	100/59/21	100/33/10	100/33/100	0	0	0	0	0	0	0	0	Violence	MSA
ACTED_2014_13	20.828628	5.498009	"5.498009,20.828628"	Ouaka	Bambari	Ngougbia	Kongokouba	ACTED	11-09-14	09-2014	11-09-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				0.00	0.00	0	0	4.3	41	0	17.2	0	1.7	38	47	53	0	7	2	0	0	0	8	41	51	0	0	0	0	0	0	95	5	0	1.058823529	4	54	0	0	42	7	62	9	0	0	22	0	0	0	0	100	22	0	17cas /2855 pers	19 cas / 2855	38	54	0	45	0	96	62	0	56	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
ACTED_2014_14	20.034118	5.744777	"5.744777,20.034118"	Ouaka	Grimari	Grimari	Gandamba	ACTED	10-05-14	05-2014	13-05-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	FALSE				632.00	9632.00	1246	6230	4.1	0	88	3	8	0	43	0	0	66	29	0	23	100	0	52	35	13	0	100	0	0	0	0	90	10	0	1.074074074	2	79	2	1	6	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	43	13	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	MSA
ACTED_2014_15	20.054886	5.605088	"5.605088,20.054886"	Ouaka	Grimari	Lissa	Zongayassi	ACTED	27-06-14	06-2014	28-06-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				0.00	0.00	0	0	4.4	36	0	0	0	5.6	45	3	0	33	12	0	8	2	0	2	31	67	0	40	40	20	0	0	92/86	Aug-14	0	1.090909091	39	37	0	0	24	70	21	0	0	0	9	0	0	0	0	0	100	0	2.4	0.9	45	55	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
ACTED_2014_16	19.54689	6.100629	"6.100629,19.54689"	Kemo	Mala	Mala	Bila	ACTED	05-08-14	08-2014	07-08-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				283.00	5702.00	0	0	4.3	20	0	10	0	2.7	34	47	52	0	1.2	28	13	7	0	12.4	46	42.9	0	0	0	0	0	0	84/86	16/14	0	1.0625	4	54	0	0	42	1	77	0	0	0	22	0	20	0	0	0	100	0	6 enfants/756/3mois	7 morts/756/3mois	36	58	0	52	0	100	85	0	0	0	0	0	0	0	0	20	0	17	3	0	0	Violence	Intervention
ACTED_2014_17	20.730846	5.339652	"5.339652,20.730846"	Ouaka	Bambari	Ngougbia	Ngakobo	ACTED	12-09-14	09-2014	13-09-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				5000.00	25000.00	0	0	4.2	0	0	0	0	0.6	26	22	28	0	22	1	81	76	0	32.8	29.7	37.5	0	0	0	0	0	0	83	17	0	1.083333333	8	61	0	0	31	29	19	13	0	0	39	0	0	100	0	0	6	0	0	0	26	54	0	41	16	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
ACTED_2014_18	26.494639	5.403851	"5.403851,26.494639"	Haut-Mbomou	Obo	Obo	Obo	ACTED	01-09-14	09-2014	04-09-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				4000.00	20000.00	0	0	3.3	24	0	0	0	1.3	29	68	0	74	3	50	66	36	0	42.7	43.8	13.5	0	100	0	0	0	0	86/84	14/16	0	1.8	27	38	0	0	35	20	33	0	0	0	47	0	6	100	0	0	85	0	0	0	29	39	0	42	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
ACTED_2014_19	21.998526	4.673463	"4.673463,21.998526"	Mbomou	Gambo	Gambo	Pombolo-Madima	ACTED	17-04-14	04-2014	18-04-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				0.00	0.00	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
DRC_2014_01	18.285135	7.300987	"7.300987,18.285135"	Ouham	Batangafo	Batangafo	Batangafo	DRC	15-08-14	08-2014	16-08-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	FALSE				3400.00	17000.00	0	0	3.8	0	99.1	0	0	2	15	15	0	98	0	0	96	0	0	47.8	27	25.2	0	53	30	10	6	0	0	0	0	0	11	75	0	0	14	0	0	0	0	0	0	0	0	0	16	0	0	0	0.1	0.8	15	 	23	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	MSA
