SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,year,AlerteID,Nb_localites_affectes,Choc_description,Pop_affectee_menages,Pop_affectee_individus,Date_rapport_CoPil,Nature_Choc_Violence,Nature_Choc_Catastrophe_naturelle,Nature_Choc_Autre,Type_pop_Deplaces,Type_pop_Communaute_hote,Type_pop_Retours,Type_pop_Repatries,Autre,Statut_MEX_Complete,Statut_MEX_Prevu,Statut_MEX_En_cours,Statut_MEX_En_attente,Statut_MEX_Annule,Delais_INT_Disponibilité_resources,Delais_INT_Coordination_humanitaire,Delais_INT_Defaillance_BD,Delais_INT_Intervention_multiple,Delais_INT_Autre,Delais_INT_NA,Delais_EXT_Necessite_reevaluer,Delais_EXT_Acces logistique,Delais_EXT_Suspension_logistique,Delais_EXT_Acceptance_parties_prenantes,Delais_EXT_EquipeRRM_cible_pendant_MEX,Delais_EXT_Acces_securitaire,Delais_EXT_Suspension_securitaire,Delais_EXT_NA,Delais_EXT_Autre,Annulation_Conversion_MSA,Annulation_NA,Annulation_Autre,Statut_rapport_MEX_En_cours,Statut_rapport_MEX_Envoye_CoPil,Proposition_Action_MSAcomplete,Proposition_Action_Eval_sectorielle,Proposition_Action_Monitoring_protection,Proposition_Action_Rehabilitation_acces_log,Proposition_Action_Plaidoyer_acces_securitaire,Proposition_Action_Suivi_retour_deplaces,Proposition_Action_Intervention_directe,Proposition_Action_Pas_daction,Proposition_Action_Autre,CodePrefecture,Prefecture,CodeSousPrefecture,SousPrefecture,CodeCommune,Commune,CodeArrondissement,Arrondissement,Longitude,Latitude,year,month
2071942042,25.04.2015,23.04.2015,24.04.2015,ACTED,Gbolo,,ACTED_GBO_20150424,8,,,837,27/04/2015,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,,Mbomou,,Bakouma,,Bakouma,,,22.748606,5.698269,2015,Avril
322952390,04.05.2015,23.04.2015,23.04.2015,DRC,Ngoutéré,,DRC_NGO_20150423,1,,1066,6400,,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,,Ouham Pende,,Bocaranga,,Pende,,,15.898247,6.771819,2015,Avril
1024549223,23.04.2015,24.04.2015,24.04.2015,DRC,Bedoua 1,,DRC_BED_20150422,5,,810,4232,2015/05/05,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,,Ouham Pende,,Paoua,,Mia-Pende,,,16.458098,7.602153,2015,Avril
1319864710,04.05.2015,25.04.2015,25.04.2015,DRC,Nzapoye,,DRC_NZA_20150422,1,,322,1610,2015/05/05,Oui,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,,Ouham Pende,,Ngaoundaye,,Lim,,,15.651473,7.438171,2015,Avril
1969588925,12.05.2015,01.05.2015,02.05.2015,ACF,Koui,,ACF_KOU_20150501,1,,200,1000,20150504,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,,Ouham Pende,,Koui,,Koui,,,15.453221,6.951955,2015,Mai
1490190513,04.05.2015,01.05.2015,01.05.2015,PU-AMI,Ndinguiri,,PU_NDI_20150425,5,,25,125,2015/05/04,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Mambere-Kadei,,Gadzi,,Topia,,,16.336991,4.886027,2015,Mai
897990387,07.05.2015,06.05.2015,06.05.2015,ACTED,Tabara,,ACTED_TAB_20150429,3,,,,2015/05/10,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Ouaka,,Bambari,,Bambari,,,20.544011,5.939525,2015,Mai
1798868026,19.05.2015,07.05.2015,07.05.2015,ACTED,Maloum,,ACTED_MAL20150429,,,,,,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Ouaka,,Bambari,,Bambari,,,21.065370,5.852494,2015,Mai
619285341,19.05.2015,11.05.2015,14.05.2015,PU-AMI,Ngarba,,PU_NGA_20150501,3,,436,2180,20150516,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,,Bamingui-Bangoran,,Ndele,,Dar El Kouti,,,20.496477,9.203859,2015,Mai
316439682,02.06.2015,21.05.2015,02.07.2015,SI,Kaga-Bandoro,,SI_OUB_20150516,2,,383,,2015/06/02,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Non,,Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,,19.185733,6.992369,2015,Mai
1992386767,29.05.2015,24.05.2015,25.05.2015,ACTED,Mbo-Pouloubou,,ACTED_MBO_20150522,1,,135,675,2015/05/29,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,,Basse-Kotto,,Mingala,,Kotto,,,21.639282,5.126245,2015,Mai
234976042,09.06.2015,26.05.2015,30.05.2015,ACF,Boganangone,,ACF_BOG_20150528,0,,,,20150604,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,Lobaye,,Boganangone,,Boganangone,,,17.198067,4.695853,2015,Mai
531366808,29.05.2015,27.05.2015,27.05.2015,DRC,Bepikasse 1,,DRC_BEP_20150521,1,,552,1630,31/05/2015,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Ouham Pende,,Paoua,,Mia-Pende,,,16.638503,7.604638,2015,Mai
1523205852,29.06.2015,01.06.2015,01.06.2015,DRC,Mbinai,,DRC_MBI_20150507,1,,331,1027,2015/06/29,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,,Ouham Pende,,Ngaoundaye,,Kodi,,,15.439806,7.425272,2015,Juin
1622715234,21.05.2015,02.06.2015,02.06.2015,DRC,Bolgue,,DRC_BOL_20150520,1,,176,522,2015/06/23,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,,Ouham,,Markounda,,Nana Markounda,,,17.005704,7.273226,2015,Juin
1982058534,23.06.2015,02.06.2015,02.06.2015,DRC,Herbo,,DRC_HER_20150529,1,,81,245,2015/06/23,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,,Ouham Pende,,Ngaoundaye,,Yeme,,,16.092648,7.556351,2015,Juin
1659854632,26.06.2015,04.06.2015,04.06.2015,DRC,Kozoro 1,,DRC_KOZ_20150601,3,,168,840,20150623,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,,Ouham,,Bouca,,Lady Gbawi,,,18.505414,6.840072,2015,Juin
1215925885,23.06.2015,10.06.2015,10.06.2015,DRC,Beogombo 2,,DRC_BEO_20150610,1,,235,2045,2015/06/17,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,,Ouham Pende,,Paoua,,Nana-Barya,,,16.615853,7.415468,2015,Juin
616160673,01.07.2015,18.06.2015,18.06.2015,DRC,Gbanda,,DRC_GBA_20150618,1,,207,1034,20150706,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,,Ouham,,Batangafo,,Batangafo,,,18.011072,7.216039,2015,Juin
880807842,30.06.2015,25.06.2015,26.06.2015,PU-AMI,Salo,,PU_NOL_20150620,3,,,,,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Sangha-Mbaere,,Nola,,Salo,,,16.103793,3.184154,2015,Juin
631389303,30.06.2015,25.06.2015,26.06.2015,PU-AMI,Yantchi,,PU_NOL_20160601,3,,60,300,,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Sangha-Mbaere,,Nola,,Bilolo,,,15.494817,3.460481,2015,Juin

