SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,Axe,Cluster_NFI_Abris_CCCM,Cluster_Log,MINUSCA_CIMCOORD,Cluster_Protection,CCCM,FAO_ICC,Cluster_Sante,Cluster_WASH,ICC,Securisation_zone,Rehabilitation_infrastructure,SOP_listes_distribution,Demande_appui_acteurs_humanitaire,Grand_nb_deplaces,En_cours,Cloture,Code_Prefecture,SousPrefecture,Code_SousPrÃ©fecture,Prefecture,Code_Commune,Commune,Code_Arrondissement,Arrondissement,Longitude,Latitude
1483575333,05.05.2015,29.04.2015,29.04.2015,ACTED,Lihoto,,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,,Kouango,,Ouaka,,Azengue-Mindou,,,20.15837,5.312277
761925136,05.05.2015,08.04.2015,08.04.2015,SI,Kabo,,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,Kabo,,Ouham,,Sido,,,18.623028,7.688983
11109822,05.05.2015,01.01.2015,01.01.2015,ACF,Abba,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,,Bouar,,Nana-Mambere,,Zotoua-Bangarem,,,15.51654,5.827415
17839115,05.05.2015,01.01.2015,01.01.2015,DRC,Bakala-Koupi,,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,,Bakala,,Ouaka,,Koudou-Bego,,,20.397154,6.105071
472132332,05.05.2015,01.01.2015,01.01.2015,ACF,Dékoa,,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Dekoa,,Kemo,,Dekoa,,,19.118972,6.518772
562533822,05.05.2015,01.01.2015,01.01.2015,DRC,Bambari,,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,,Bambari,,Ouaka,,Bambari,,,20.654183,5.764845
1314918220,05.05.2015,01.01.2015,01.01.2015,ACF,Koui,,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,,Koui,,Ouham Pende,,Koui,,,15.453221,6.951955
1423948560,05.05.2015,01.01.2015,01.01.2015,PU-AMI,Amada Gaza,,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,,Amada-Gaza,,Mambere-Kadei,,,,,15.209111,4.768658
1793714978,05.05.2015,01.01.2015,01.01.2015,DRC,Batangafo,,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,,Batangafo,,Ouham,,Batangafo,,,18.285135,7.300987
1873065196,05.05.2015,01.01.2015,01.01.2015,DRC,Batangafo,,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Batangafo,,Ouham,,Batangafo,,,18.285135,7.300987
2037791360,05.05.2015,01.01.2015,01.01.2015,ACF,Bocaranga,,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,Koui,,Ouham Pende,,Koui,,,15.638319,6.996461
65791521,05.05.2015,24.12.2014,24.12.2014,SI,Mbres,,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Mbres,,Nana-Gribizi,,Mbres,,,19.799937,6.667027
