SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,Axe,AlerteID,Nb_localites_affectes,Pop_affectee_menages,Pop_affectee_individus,Nature_choc_Catastrophe,Nature_choc_Violences,Nature_choc_Autre,Pop_affectee.Deplaces,Pop_affectee.Retours,Pop_affectee.Communaute_hote,Pop_affectee.Autre,Acces_humanitaire_Oui,Acces_humanitaire_Non_logistique,Acces_humanitaire_Non_securite,Acces_humanitaire_Non_autre,Continue_Investigation.Oui,Continue_Investigation.Non,Alerte_en_cours.Oui,Alerte_en_cours.Non,Code_Prefecture,Prefecture,Code_SousPréfecture,SousPrefecture,Code_Commune,Commune,Code_Arrondissement,Arrondissement,Longitude,Latitude,year,month
763353279,07.05.2015,05.05.2015,08.05.2015,ACTED,Kpadou,,ACTED_KPA_20150505,,,65,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Oui,,Basse-Kotto,,Kembe,,Mboui,,,21.375632,4.531658,2015,Mai
659825272,21.05.2015,06.05.2015,06.05.2015,DRC,Badama,,DRC_BAD_20150506,1,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Oui,,Ouham,,Markounda,,Nana Markounda,,,16.992660,7.574630,2015,Mai
941338874,21.05.2015,06.05.2015,06.05.2015,DRC,Bodjomo,,DRC_BOD_20150506,1,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,,Ouham,,Markounda,,Nana Markounda,,,17.136638,7.418152,2015,Mai
1374506283,12.05.2015,06.05.2015,06.05.2015,DRC,Gbandou,,DRC_GBA_20150506,1,,,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouham,,Bouca,,Fafa Boungou,,,18.348850,6.000000,2015,Mai
1603708646,12.05.2015,06.05.2015,06.05.2015,DRC,Badama,,DRC_BAD_20150506,1,848,276,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,,Ouham,,Markounda,,Nana Markounda,,,16.992660,7.574630,2015,Mai
1469796291,12.05.2015,07.05.2015,12.05.2015,PU-AMI,Korando,,PU_KOR_20150507,1,,,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Oui,Non,Oui,Non,,Mambere-Kadei,,Gamboula,,Basse-Boumne,,,15.225398,4.199319,2015,Mai
1148022862,29.06.2015,07.05.2015,07.05.2015,DRC,Mbinai,,DRC_MBI_20150507,1,,,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Oui,,Ouham Pende,,Ngaoundaye,,Kodi,,,15.439806,7.425272,2015,Mai
1070456538,12.05.2015,11.05.2015,11.05.2015,ACTED,Béma,,ACTED_BEM_20150511,,,,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Mbomou,,Ouango,,Ouango,,,22.442181,4.142042,2015,Mai
1956065888,16.05.2015,16.05.2015,02.06.2015,SI,Kaga-Bandoro,,SI_BAM_20150516,2,383,1960,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,,19.185733,6.992369,2015,Mai
1796818178,20.05.2015,19.05.2015,20.05.2015,PU-AMI,Berberati,,PU_BER_20150520,1,200,1000,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Mambere-Kadei,,Berberati,,Basse-Batouri,,,15.787529,4.255473,2015,Mai
1409416818,02.06.2015,19.05.2015,19.05.2015,ACF,Bodé,,ACF_BOD_20150519,1,717,3585,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouham,,Batangafo,,Batangafo,,,17.428594,7.171736,2015,Mai
358900203,21.05.2015,20.05.2015,20.05.2015,DRC,Bolgue,,DRC_BOL_20150520,1,212,,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,,Ouham,,Markounda,,Nana Markounda,,,17.005704,7.273226,2015,Mai
520494180,21.05.2015,21.05.2015,21.05.2015,DRC,Bepikasse 1,,DRC_BEP_20150521,1,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouham Pende,,Paoua,,Mia-Pende,,,16.638503,7.604638,2015,Mai
228615171,29.05.2015,22.05.2015,22.05.2015,ACTED,Mbo-Pouloubou,,ACTED_MBO_20150522,,135,675,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Basse-Kotto,,Mingala,,Kotto,,,21.639282,5.126245,2015,Mai
2017668254,29.05.2015,29.05.2015,29.05.2015,DRC,Herbo,,DRC_HER_20150529,1,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouham Pende,,Ngaoundaye,,Yeme,,,16.092648,7.556351,2015,Mai
1719160419,26.06.2015,01.06.2015,01.06.2015,DRC,Kozoro 1,,DRC_KOZ_20150601,1,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,,Ouham,,Bouca,,Lady Gbawi,,,18.505414,6.840072,2015,Juin
253139056,07.07.2015,02.06.2015,02.07.2015,SI,Kaga-Bandoro,,SI_BIS_20150602,1,261,1359,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,,19.185733,6.992369,2015,Juin
1503092544,05.06.2015,03.06.2015,05.06.2015,ACTED,Boy Kota,,ACTED_BOY_20150603,4,156,1810,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouaka,,Kouango,,Cochio-Toulou,,,20.576496,5.158270,2015,Juin
1170883309,15.06.2015,03.06.2015,03.06.2015,ACTED,Manoeuvre,,ACTED_MAN_20150609,1,,,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,,Basse-Kotto,,Zangba,,Yabongo,,,20.752234,4.433675,2015,Juin
2012125456,09.06.2015,07.06.2015,07.06.2015,ACF,Baboua,,ACF_BAB_20150606,1,96,457,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Nana-Mambere,,Baboua,,Baboua,,,14.832919,5.806589,2015,Juin
852034755,16.06.2015,09.06.2015,17.06.2015,PU-AMI,Dilapoko,,PU_DIL_20150609,1,,,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,,Mambere-Kadei,,Gamboula,,Basse-Boumne,,,15.091660,4.363720,2015,Juin
1373282761,09.06.2015,09.06.2015,09.06.2015,ACF,Behile,,ACF_BEH_20150609,4,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouham,,Markounda,,Nana Markounda,,,17.028554,7.622169,2015,Juin
1523503660,09.06.2015,09.06.2015,09.06.2015,ACF,Marzé,,ACF_MAR_20150609,,,1540,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,,Ouham,,Bouca,,,,,18.778981,6.847689,2015,Juin
1887083085,18.06.2015,16.06.2015,16.06.2015,ACTED,Goya,,ACT_GOY_20150616,1,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouaka,,Kouango,,Cochio-Toulou,,,20.686183,4.928531,2015,Juin
709467086,23.06.2015,23.06.2015,30.06.2015,PU-AMI,Nola,,PU_NOL_20150623,5,,,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Sangha-Mbaere,,Nola,,Nola,,,16.044940,3.524026,2015,Juin
1745454452,30.06.2015,24.06.2015,24.06.2015,ACF,Pama,,ACF_PAM_20150624,1,,,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouham,,Batangafo,,Hama,,,17.468886,7.172058,2015,Juin
1751495248,26.06.2015,24.06.2015,24.06.2015,DRC,Bepikasse 1,,DRC_BEP_20150624,2,,,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,,Ouham Pende,,Paoua,,Mia-Pende,,,16.638503,7.604638,2015,Juin
1773046412,30.06.2015,30.06.2015,30.06.2015,ACTED,Obo,,ACT_AZA_20150630,,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Haut-Mbomou,,Obo,,Obo,,,26.488725,5.387019,2015,Juin
932565507,07.07.2015,03.07.2015,03.07.2015,DRC,Béyongo,,DRC_BEY_20150618,4,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,,Ouham,,Markounda,,Nana Markounda,,,17.045556,8.000000,2015,Juillet
1162743500,07.07.2015,06.07.2015,07.07.2015,SI,Ndenga,,SI_Ndenga_20150706,5,926,5556,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Nana-Gribizi,,Kaga-Bandoro,,Ndenga,,,19.260450,6.759629,2015,Juillet

