DateCreated,startDate,endDate,Partner,year,AlerteID,Menage_deplaces,Individus_deplaces,Score_NFI,X_de_menages_vivant_ds_un_abris_en_dessous_des_standard,X_des_menages_ayant_acces_a_une_latrine_hygienique,X_des_menages_avec_un_source_eau_potable_amelioree,MSAcount,Recommandation_Intervention_NFI,Recommandation_Intervention_EAH,Recommandation_Intervention_Sante,Recommandation_Intervention_Protection,Recommandation_Securite_Alimentaire,Recommandation_Intervention_Education,Recommandation_Intervention_Logistique,OCHA_village_v2,Prefecture,SousPrefecture,Commune,Latitude,Longitude
20.10.2017,04.10.2017,06.10.2017,ACF,2017,ACF_BOU_20170912,153,700,4,17,21,62,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bouca,Ouham,Bouca,Bouca Bobo,6.502576,18.279259
17.10.2017,29.09.2017,02.10.2017,ACTED,2017,ACT_ZEM_20170817,841,4000,4,45,16,73,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Rafai,Mbomou,Rafai,Rafai,4.969394,23.933396
16.10.2017,10.10.2017,11.10.2017,ACTED,2017,ACT_AMA_20171003,255,1219,4,60,9,0,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Gambo,Mbomou,Gambo,Gambo,4.649389,22.262621
27.09.2017,15.09.2017,17.09.2017,SI,2017,SI_KAB_20170913,0,0,3,100,0,0,,Oui,Non,Non,Non,Oui,Non,Non,Kabo,Ouham,Kabo,Sido,7.688983,18.623028
16.09.2017,07.09.2017,10.09.2017,ACF,2017,ACF_NGA_20170831,0,0,4,75,8,100,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Ngaounday,Ouham Pende,Ngaoundaye,Lim,7.478507,15.60402
12.09.2017,20.08.2017,23.09.2017,ACTED,2017,ACT_KAD_20170818,1040,5200,4,7,57,77,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Obo,Haut-Mbomou,Obo,Obo,5.403851,26.494639
28.08.2017,19.08.2017,22.08.2017,ACTED,2017,ACT_GAM_20170804,322,2500,5,45,2,15,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bangassou,Mbomou,Bangassou,,4.740092,22.822237
22.08.2017,07.08.2017,09.08.2017,ACF,2017,ACF_BOR_20170801,335,1675,4,40,12,42,,Oui,Oui,Non,Non,Non,Non,Non,Boguila,Mambere-Kadei,Carnot,Carnot,5.075341,15.950901
07.08.2017,07.07.2017,10.07.2017,ACF,2017,ACF_SAN_20170627,0,0,4,0,6,55,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Sangare lim,Ouham Pende,Koui,Koui,6.950599,15.358343
01.08.2017,12.07.2017,14.07.2017,ACF,2017,ACF_PAO_20170707,184,931,4,1,34,36,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Paoua,Ouham Pende,Paoua,Paoua,7.245206,16.434175
11.07.2017,07.07.2017,08.07.2017,ACTED,2017,ACT_ZEM_20170628,4336,19021,4,81,29,94,,Oui,Oui,Oui,Non,Oui,Oui,Non,Zemio,Haut-Mbomou,Zemio,Zemio,5.024257,25.129423
04.07.2017,15.06.2017,16.06.2017,ACTED,2017,ACT_BAN_20170608,424,2118,4,51,27,1,,Oui,Oui,Oui,Oui,Oui,Non,Non,Bangassou,Mbomou,Bangassou,,4.740092,22.822237
12.06.2017,07.06.2017,09.06.2017,SI,2017,SI_MOL_20170502,0,0,4,98,0,0,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Molo,Ouham,Kabo,Sido,8.234618,18.755926
30.05.2017,24.05.2017,26.05.2017,ACTED,2017,ACT_BRI_20170517,7376,36880,4,78,40,44,,Oui,Oui,Oui,Non,Non,Non,Non,Bria,Haute-Kotto,Bria,Samba-Boungou,6.537415,21.991405
23.05.2017,16.05.2017,17.05.2017,ACF,2017,ACF_NIE_20170502,545,2708,4,0,10,67,,Oui,Non,Oui,Oui,Oui,Non,Non,Bouar,Nana-Mambere,Bouar,Herman-Brousse,5.931157,15.592954
22.05.2017,16.05.2017,17.05.2017,ACTED,2017,ACT_ALI_20170509,2337,13075,4,12,15,23,,Oui,Oui,Oui,Non,Non,Non,Non,Alindao,Basse-Kotto,Alindao,Alindao,5.042049,21.214987
22.05.2017,16.05.2017,17.05.2017,ACTED,2017,ACT_BAN_20170128,761,3805,5,0,44,74,,Oui,Oui,Non,Oui,Oui,Non,Non,Bangassou,Mbomou,Bangassou,,4.740092,22.822237
18.05.2017,15.05.2017,16.05.2017,ACF,2017,ACF_NIE_20170502,132,2040,4,0,12,83,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Niem,Nana-Mambere,Bouar,Niem-Yelewa,6.198608,15.230062
16.05.2017,01.05.2017,02.05.2017,ACF,2017,ACF_MAR_20170425,0,0,4,11,8,44,,Oui,Oui,Oui,Non,Oui,Oui,Non,Maitikoulou,Ouham,Markounda,Nana Markounda,7.925992,17.625642
16.05.2017,29.04.2017,30.04.2017,ACF,2017,ACF_MAR_20170425,0,0,4,7,15,99,,Non,Non,Oui,Oui,Non,Oui,Non,Markounda,Ouham,Markounda,Nana Markounda,7.61732,16.966936
16.05.2017,25.04.2017,25.04.2017,SI,2017,SI_MBE_20170425,0,0,4,100,0,23,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Gribinguie 2,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,7.003611,19.19667
09.05.2017,29.04.2017,01.05.2017,ACTED,2017,ACT_DIM_20170426,290,1450,4,7,21,35,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Dimbi,Basse-Kotto,Kembe,Kembe,4.624735,21.72028
09.05.2017,27.04.2017,29.04.2017,ACF,2017,ACF_MAR_20170425,0,0,4,43,8,77,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Markounda,Ouham,Markounda,Nana Markounda,7.61732,16.966936
09.05.2017,19.04.2017,21.04.2017,ACTED,2017,ACT_ALI_20170418,175,791,4,0,18,14,,Oui,Oui,Oui,Non,Non,Oui,Non,Alindao,Basse-Kotto,Alindao,Alindao,5.042049,21.214987
09.05.2017,18.04.2017,21.04.2017,ACTED,2017,ACT_BAK_20170326,230,797,4,0,40,53,,Oui,Non,Non,Oui,Non,Oui,Non,Bangassou,Mbomou,Bangassou,,4.740092,22.822237
08.05.2017,30.04.2017,30.04.2017,SI,2017,SI_SIN_20170328,62,310,4,7,1,32,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Sindi,Nana-Gribizi,Kaga-Bandoro,Grivai-Pamia,7.091999,19.220786
02.05.2017,24.04.2017,26.04.2017,ACF,2017,ACF_BOY_20170426,0,0,4,31,0,0,,Oui,Non,Non,Non,Non,Oui,Non,Boyay,Ouham Pende,Ngaoundaye,Mbili,7.102433,15.238532
24.04.2017,13.04.2017,15.04.2017,ACF,2017,ACF_Nga_20170404,372,1860,4,9,14,83,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Ngaoundaye,Ouham Pende,Ngaoundaye,Mbili,6.985813,15.258225
18.04.2017,07.04.2017,11.04.2017,ACF,2017,ACF_Mak_20170330,270,1350,4,44,71,76,,Oui,Oui,Oui,Non,Oui,Oui,Non,Makounzi Wali,Ouham Pende,Koui,Koui,6.78566,15.094831
18.04.2017,06.04.2017,11.04.2017,ACF,2017,ACF_Kou_20170330,122,613,4,0,21,92,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Koui,Ouham Pende,Koui,Koui,6.951955,15.453221
18.04.2017,04.04.2017,06.04.2017,ACTED,2017,ACT_AGO_20170327,1988,8919,4,86,43,42,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bambari,Ouaka,Bambari,Bambari,5.751444,20.667172
14.04.2017,04.04.2017,06.04.2017,SI,2017,SI_PAR_20170322,0,0,4,0,0,97,,Oui,Oui,Non,Oui,Oui,Oui,Non,Ouogo Centre,Ouham,Batangafo,Bakassa,7.53957,17.762112
22.03.2017,07.03.2017,14.03.2017,SI,2017,SI_BAT_20170210,0,0,4,0,5,44,,Oui,Oui,Non,Oui,Oui,Oui,Non,Batangafo,Ouham,Batangafo,Batangafo,7.300987,18.285135
21.03.2017,13.03.2017,14.03.2017,ACF,2017,ACF_KOU_20170213,300,1500,5,5,37,95,,Oui,Oui,Oui,Non,Oui,Oui,Non,Nana-Bakassa,Ouham,Nana-Bakassa,Nana-Bakassa,6.986891,17.282323
21.03.2017,08.03.2017,19.03.2017,ACTED,2017,ACT_GON_20170218,297,1485,4,0,29,0,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Mingala,Basse-Kotto,Mingala,Siriki,5.095167,21.787244
14.03.2017,08.03.2017,11.03.2017,ACTED,2017,ACT_NDE_20170227,200,1000,5,78,0,0,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bakouma,Mbomou,Bakouma,Bakouma,5.711727,22.78416
06.03.2017,03.03.2017,05.03.2017,ACTED,2017,ACT_MAL_20170213,295,1623,5,6,35,84,,Oui,Oui,Non,Non,Non,Non,Non,Maloum,Ouaka,Bambari,Bambari,5.852494,21.06537
05.03.2017,25.02.2017,28.02.2017,SI,2017,SI_BOT_20170221,0,0,4,9,1,78,,Oui,Oui,Oui,Non,Oui,Oui,Oui,Botto,Nana-Gribizi,Kaga-Bandoro,Botto,6.975222,19.100667
02.03.2017,22.02.2017,23.02.2017,ACF,2017,ACF_BOW_20170210,435,2125,4,2,15,31,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bowaye,Ouham,Nana-Bakassa,Nana-Bakassa,6.969912,17.291506
27.02.2017,18.02.2017,18.02.2017,ACF,2017,ACF_BOC_20170202 ,496,2480,4,42,13,76,,Non,Oui,Oui,Oui,Oui,Oui,Non,Bohong,Ouham Pende,Bocaranga,,6.49734,15.656105
27.02.2017,16.02.2017,16.02.2017,ACF,2017,ACF_BIK_20170115,600,3000,4,21,23,54,,Non,Oui,Oui,Oui,Oui,Oui,Non,Bocaranga,Ouham Pende,Koui,Koui,6.996461,15.638319
27.02.2017,14.02.2017,18.02.2017,ACF,2017,ACF_BOC_20170202 ,309,1575,4,1,23,38,,Oui,Oui,Non,Non,Non,Non,Non,Bozoum,Ouham Pende,Bozoum,Bozoum,6.318574,16.370852
27.02.2017,07.02.2017,09.02.2017,ACF,2017,ACF_SON_20170127,131,643,4,0,5,50,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bouca,Ouham,Bouca,Bouca Bobo,6.502576,18.279259
27.02.2017,17.01.2017,17.01.2017,ACF,2017,ACF_SAN_20170106,806,4030,4,19,12,93,,Oui,Oui,Oui,Oui,Non,Oui,Non,Bohong,Ouham Pende,Bocaranga,,6.49734,15.656105
21.02.2017,09.02.2017,13.02.2017,SI,2017,SI_BEK_20161205,0,0,5,38,0,31,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Bekondja,Ouham,Kabo,Sido,7.938928,17.976794
17.02.2017,26.01.2017,28.01.2017,ACTED,2017,ACT_MBR_20161229,685,3700,4,0,21,8,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Ippy,Ouaka,Ippy,Ippy,6.271642,21.195078
17.02.2017,19.01.2017,20.01.2017,ACTED,2017,ACT_BAK_20161127,545,2540,4,85,5,28,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Yamale,Ouaka,Bambari,Pladama-Ouaka,5.971565,20.517532
17.02.2017,17.01.2017,17.01.2017,ACTED,2017,ACT_POU_20161230,595,3250,4,3,43,0,,Oui,Oui,Oui,Oui,Oui,Non,Non,Poudjo,Basse-Kotto,Alindao,Yambele-Ewou,5.364255,21.021352
09.01.2017,28.12.2016,30.12.2016,SI,2016,SI_BAT_20161226,277,1662,4.9,100,76,100,,Oui,Non,Non,Non,Oui,Oui,Non,Batangafo,Ouham,Batangafo,Batangafo,7.300987,18.285135
09.01.2017,20.12.2016,20.12.2016,SI,2016,SI_NDO_20161220,105,527,3.5,100,,,,Non,Non,Non,Non,Non,Non,Non,Ndoubou,Ouham,Batangafo,Batangafo,7.314133,18.320867
27.12.2016,19.12.2016,20.12.2016,ACTED,2016,ACT_GRI_20161026,475,3500,5,6,10,50,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Grimari,Ouaka,Grimari,Grimari,5.741367,20.0552
16.12.2016,08.12.2016,08.12.2016,ACF,2016,ACF_DEK_20161113,46,276,4.5,15,17,91,,Oui,Oui,Non,Oui,Oui,Oui,Non,Dékoa,Kemo,Dekoa,Dekoa,6.518772,19.118972
16.12.2016,06.12.2016,07.12.2016,ACF,2016,ACF_DEK_20161113,100,525,4.6,0,15,74,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Dékoa,Kemo,Dekoa,Dekoa,6.518772,19.118972
09.12.2016,23.11.2016,02.12.2016,SI,2016,SI_KAB_20161121,3159,15785,4.5,0,27,63,,Non,Oui,Non,Non,Non,Non,Non,Kabo,Ouham,Kabo,Sido,7.688983,18.623028
09.12.2016,23.11.2016,02.12.2016,SI,2016,SI_KAB_20161121,0,0,4.2,0,30,71,,Non,Oui,Non,Non,Non,Non,Non,Kabo,Ouham,Kabo,Sido,7.688983,18.623028
08.12.2016,02.12.2016,04.12.2016,ACF,2016,ACF_SIB_20161113,207,947,4.2,20,47,85,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Sibut,Kemo,Sibut,Sibut,5.735689,19.086042
15.11.2016,05.11.2016,08.11.2016,ACF,2016,ACF_MAR_20161025,300,1133,5,6,9,24,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Marzé,Ouham,Bouca,,6.847689,18.778981
03.11.2016,27.10.2016,29.10.2016,ACF,2016,ACF_PAM_20160922,,,5,96,0,0,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Pama,Ouham,Batangafo,Hama,7.172058,17.468886
31.10.2016,13.10.2016,19.10.2016,ACTED,2016,ACT_BIA_20160911,0,0,4,86,5,1,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bianga,Ouaka,Kouango,Kouango,4.83,20.4
25.10.2016,02.10.2016,03.10.2016,ACTED,2016,ACT_TAB_20160920,162,810,3,65,22,99,,Non,Oui,Oui,Oui,Oui,Non,Non,Tabane,Haut-Mbomou,Zemio,Zemio,5.103722,24.939847
18.10.2016,01.10.2016,02.10.2016,ACTED,2016,ACT_BAH_20160904,,,4,11,29,19,,Oui,Oui,Non,Oui,Oui,Non,Non,Bahr,Haut-Mbomou,Zemio,Zemio,5.115203,24.85528
14.10.2016,09.10.2016,11.10.2016,ACF,2016,ACF_Kou_20160927,1410,7050,5,24,0,71,,Oui,Non,Oui,Oui,Oui,Oui,Non,Bocaranga,Ouham Pende,Koui,Koui,6.996461,15.638319
11.10.2016,06.10.2016,08.10.2016,ACF,2016,ACF_Kou_20160927,1607,8035,4.6,22,1,81,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bocaranga,Ouham Pende,Koui,Koui,6.996461,15.638319
04.10.2016,27.09.2016,01.10.2016,SI,2016,SI_BEH_20160902,0,0,4.7,74,2,45,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Behili 1,Ouham,Kabo,Sido,7.856883,18.110808
29.09.2016,21.09.2016,24.09.2016,ACF,2016,ACF_Dan_20160917,331,1655,5,31,1,89,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Dan-Kobira,Ouham Pende,Koui,Koui,6.567839,15.33451
27.09.2016,24.09.2016,25.09.2016,SI,2016,SI_KOL_20160920,0,0,5,99,2,0,,Oui,Oui,Oui,Non,Oui,Oui,Non,Botto,Nana-Gribizi,Kaga-Bandoro,Botto,6.975222,19.100667
27.09.2016,19.09.2016,24.09.2016,PU-AMI,2016,PU_KPA_20160722,0,0,4,0,0,0,,Oui,Oui,Non,Oui,Oui,Oui,Oui,Krakoma,Bamingui-Bangoran,Ndele,Mbolo-Pata,8.101935,21.28193
24.09.2016,20.09.2016,22.09.2016,SI,2016,SI_NDO_20160916,0,0,4.2,1,6,90,,Oui,Non,Non,Non,Non,Non,Non,Dengueno 1,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.882751,19.19073
06.09.2016,16.08.2016,17.08.2016,PU-AMI,2016,PU_ZOU_20160810,39,195,4,0,0,0,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Zoukoutouniala,Bamingui-Bangoran,Ndele,Dar El Kouti,8.564903,20.608739
06.09.2016,26.07.2016,31.07.2016,PU-AMI,2016,PU_DIL_20160710,680,3400,5,1,0,0,,Oui,Oui,Non,Non,Non,Non,Non,Noufou,Mambere-Kadei,Gamboula,,4.592044,14.810714
30.08.2016,11.08.2016,16.08.2016,SI,2016,SI_MOY_20160729,112,420,4.6,100,100,100,,Oui,Oui,Non,Non,Oui,Oui,Oui,Moyenne Sido,Ouham,Kabo,Sido,8.225083,18.711433
17.08.2016,08.08.2016,10.08.2016,SI,2016,SI_BOT_20160725,0,0,4.5,0,0,1,,Non,Oui,Non,Non,Non,Non,Non,Botto,Nana-Gribizi,Kaga-Bandoro,Botto,6.975222,19.100667
09.08.2016,30.06.2016,04.07.2016,PU-AMI,2016,PU_KOU_20160531,,,4,,0,0,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Koundi,Bamingui-Bangoran,Ndele,Dar El Kouti,8.827633,20.7
09.08.2016,25.05.2016,31.05.2016,PU-AMI,2016,PU_NGA_20160530,0,0,4,,0,0,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Ngarba,Bamingui-Bangoran,Ndele,Dar El Kouti,9.203859,20.496477
29.07.2016,16.07.2016,19.07.2016,ACTED,2016,"	ACT_MBA_20160629",,,4,1,0,1,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Mbata 2,Basse-Kotto,Kembe,Mboui,4.584679,21.688204
27.07.2016,18.07.2016,19.07.2016,SI,2016,SI_BA3_20160601,,,4,45,0,37,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Boguidi,Ouham,Batangafo,Ouassi,7.390447,18.389236
27.07.2016,30.06.2016,20.07.2016,SI,2016,SI_BAT_20160601,0,0,5,44,10,38,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Batangafo,Ouham,Batangafo,Batangafo,7.300987,18.285135
20.07.2016,13.06.2016,18.06.2016,PU-AMI,2016,PU_GAS_20160426,5,,4,0,0,0,,Oui,Oui,Non,Non,Oui,Non,Oui,Gassai,Bamingui-Bangoran,Ndele,Dar El Kouti,8.771306,19.309496
18.07.2016,05.07.2016,07.07.2016,ACF,2016,ACF_Ndo_20160517,178,1071,,,5,29,,Non,Oui,Non,Non,Non,Non,Non,Gpt Ndoumbou,Ouham,Bouca,Ouham Fafa,6.824404,17.977696
07.07.2016,25.06.2016,27.06.2016,ACF,2016,ACF_Man_20160601,260,1300,4.3,0,10,97,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Mann,Ouham Pende,Ngaoundaye,Kodi,7.375917,15.485058
01.07.2016,25.06.2016,30.06.2016,ACF,2016,ACF_Nga_20160613,4400,22000,3.8,3,14,92,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Ngaounday,Ouham Pende,Ngaoundaye,Lim,7.478507,15.60402
01.07.2016,22.06.2016,25.06.2016,ACTED,2016,ACT_BAN_20160608,48,240,4,47,0,1,,Oui,Non,Oui,Oui,Oui,Oui,Non,Banga 3,Ouaka,Kouango,Kouango,5.220554,20.013538
01.07.2016,16.06.2016,24.06.2016,ACF,2016,ACF_Ass_20160605,57,342,4.2,0,0,11,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Assoulemaka,Kemo,Mala,Mala,6.031003,19.661434
15.06.2016,07.06.2016,08.06.2016,ACF,2016,ACF_Sab_20160531,50,262,4.1,17,0,20,,Oui,Oui,Non,Oui,Oui,Oui,Non,Sabewa,Nana-Mambere,Bouar,Niem-Yelewa,6.668017,14.982606
31.05.2016,21.05.2016,23.05.2016,ACTED,2016,ACT_IRA_20160120,0,0,4,40,3,0,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Zabé,Mbomou,Bakouma,Bakouma,5.908856,22.235056
30.05.2016,12.05.2016,13.05.2016,ACTED,2016,ACT_AGO_20160417,,,4,30,13,88,,Oui,Oui,Non,Oui,Oui,Oui,Non,Agoumar,Mbomou,Rafai,Rafai,4.993979,23.917023
30.05.2016,11.05.2016,12.05.2016,ACTED,2016,ACT_DEM_20160319,,,4,44,4,31,,Oui,Oui,Oui,Oui,Oui,Non,Non,Dembia,Mbomou,Rafai,Rafai,5.102711,24.463914
17.05.2016,07.05.2016,09.05.2016,ACTED,2016,ACT_TAB_20160305,0,0,4,38,1,0,,Oui,Oui,Oui,Oui,Non,Oui,Non,Tabane,Haut-Mbomou,Zemio,Zemio,5.103722,24.939847
06.05.2016,30.04.2016,03.05.2016,ACF,2016,ACF_Abb_20160430,,,3,9,24,51,,Oui,Oui,Oui,Non,Oui,Oui,Non,Abba,Nana-Mambere,Bouar,Zotoua-Bangarem,5.827415,15.51654
06.05.2016,20.04.2016,21.04.2016,ACF,2016,ACF_Mai_20160408,,6816,4,0,4,27,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Maitikoulou,Ouham,Markounda,Nana Markounda,7.925992,17.625642
06.05.2016,13.04.2016,18.04.2016,ACF,2016,ACF_San_20160130,850,4250,4,0,4,29,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bocaranga,Ouham Pende,Koui,Koui,6.996461,15.638319
06.05.2016,11.04.2016,16.04.2016,ACF,2016,ACF_SA2_20160404,,4530,4,1,0,89,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Koui,Ouham Pende,Koui,Koui,6.951955,15.453221
06.05.2016,11.03.2016,16.03.2016,ACF,2016,ACF_Boz_20160208,,,4,21,4,46,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bozakon,Ouham,Bouca,Lady Gbawi,6.952119,18.504728
27.04.2016,12.04.2016,16.04.2016,PU-AMI,2016,PU_BOM_20160411,0,0,5,65,0,48,,Oui,Oui,Non,Non,Non,Non,Non,Bombo,Mambere-Kadei,Amada-Gaza,Haute-Boumbe,4.780296,14.864348
27.04.2016,10.04.2016,12.04.2016,ACTED,2016,ACT_TAM_20160119,492,2453,4,45,6,83,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Tabane,Haut-Mbomou,Zemio,Zemio,5.103722,24.939847
27.04.2016,11.03.2016,12.03.2016,ACTED,2016,ACT_NDA_20160220,,,3,31,0,6,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Ndassima,Ouaka,Bambari,Danga-Gboudou,6.138944,20.777868
26.04.2016,18.04.2016,24.04.2016,ACF,2016,ACF_BES_20150419,,,4,5,0,37,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Besson,Nana-Mambere,Baboua,Goudrot,6.258945,14.816071
26.04.2016,16.04.2016,23.04.2016,ACF,2016,ACF_May_20160403,0,0,4,7,4,35,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Mayolara,Nana-Mambere,Baboua,Goudrot,6.402414,14.956389
13.04.2016,01.03.2016,03.03.2016,SI,2016,SI_MB2_20160129,,,4,1,6,59,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Mbres,Nana-Gribizi,Mbres,Mbres,6.667027,19.799937
05.04.2016,26.04.2016,27.04.2016,ACTED,2016,ACT_KOU_20160318,0,0,4,14,2,0,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Kouango,Ouaka,Kouango,Kouango,4.992821,19.97361
05.04.2016,18.03.2016,21.03.2016,ACF,2016,ACF_Bir_20160318,107,559,4,54,4,100,,Oui,Oui,Oui,Non,Oui,Oui,Non,Birlo,Ombella M'Poko,Boali,,5.009,17.911
23.03.2016,11.03.2016,16.03.2016,ACF,2016,ACF_Boy_20160208,,,4,21,4,46,,Oui,Oui,Non,Non,Non,Non,Non,Boya 2,Ouham,Bouca,Lady Gbawi,6.90342,18.55288
11.03.2016,01.03.2016,03.03.2016,SI,2016,SI_MBR_20160129,0,0,4,1,6,59,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Mbres,Nana-Gribizi,Mbres,Mbres,6.667027,19.799937
08.03.2016,19.02.2016,20.02.2016,ACTED,2016,ACT_NIA_20160208,150,746,4,12,3,13,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Niakari,Mbomou,Bangassou,Sayo Niakari,4.838819,22.753196
08.03.2016,06.02.2016,08.02.2016,ACF,2016,ACF_San_20160130,906,4530,4,44,0,71,,Oui,Oui,Oui,Oui,Oui,Non,Non,Koui,Ouham Pende,Koui,Koui,6.951955,15.453221
07.03.2016,29.02.2016,06.03.2016,ACF,2016,ACF_Bom_20160216,74,308,5,7,0,100,,Oui,Oui,Non,Non,Oui,Oui,Oui,Bombere-Kota,Ouham,Bossangoa,Ben Zambe,6.914322,17.548962
07.03.2016,17.02.2016,19.03.2016,ACF,2016,ACF_Bod_20160217,,,4,1,0,95,,Oui,Non,Oui,Non,Oui,Non,Non,Bodjomo,Ouham,Markounda,Nana Markounda,7.418152,17.136638
07.03.2016,16.02.2016,17.02.2016,ACF,2016,ACF_Bab_20160111,165,754,4,26,0,6,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Safou,Nana-Mambere,Bouar,Niem-Yelewa,6.553593,14.999187
23.02.2016,17.02.2016,19.02.2016,PU-AMI,2016,PU_GBA_20160217,50,250,4,,2,0,,Oui,Oui,Non,Non,Non,Non,Non,Gbambia,Mambere-Kadei,Amada-Gaza,Haute-Boumbe,4.791097,14.985558
23.02.2016,05.02.2016,09.02.2016,PU-AMI,2016,PU_PAT_20160201,10,57,4,,0,0,,Oui,Oui,Non,Non,Non,Non,Non,Pata,Bamingui-Bangoran,Ndele,Mbolo-Pata,8.057525,21.404942
21.02.2016,16.02.2016,17.02.2016,ACTED,2016,ACT_MAB_20160203,,,4,0,0,5,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Mabo,Mbomou,Gambo,Gambo,4.666018,22.533842
17.02.2016,09.02.2016,10.02.2016,SI,2016,SI_FAR_20160129,,,4,5,11,71,,Non,Oui,Oui,Oui,Oui,Oui,Non,Farazala,Ouham,Kabo,Ouaki,7.383994,18.747848
17.02.2016,04.02.2016,05.02.2016,SI,2016,SI_GRI_20160129,0,0,4,2,5,49,,Non,Oui,Oui,Non,Oui,Oui,Non,Grivaï,Nana-Gribizi,Kaga-Bandoro,Grivai-Pamia,7.064233,19.437234
15.02.2016,03.02.2016,04.02.2016,ACF,2016,ACF_SA2_20160130,105,525,4,27,,39,,Oui,Oui,Non,Oui,Oui,Oui,Non,Bocaranga,Ouham Pende,Koui,Koui,6.996461,15.638319
10.02.2016,13.01.2016,14.01.2016,ACF,2016,ACF_Bou_20160113,103,525,4,,,,,Oui,Oui,Oui,Non,Oui,Oui,Non,Bouar,Nana-Mambere,Bouar,Herman-Brousse,5.931157,15.592954
09.02.2016,18.01.2016,20.01.2016,ACTED,2016,ACT_BOY_20151118,1302,9245,4,69,0,1,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Boy Kota,Ouaka,Kouango,Cochio-Toulou,5.15827,20.576496
09.02.2016,02.01.2016,03.02.2016,ACTED,2016,ACT_BAM_20151230,,,4,100,24,85,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bambari,Ouaka,Bambari,Bambari,5.751444,20.667172
08.02.2016,28.01.2016,29.01.2016,ACTED,2016,ACT_LIW_20160125,0,0,4,98,2,2,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Liwa,Ouaka,Bambari,Ngougbia,5.681776,20.68747
01.02.2016,21.01.2016,22.02.2016,ACTED,2016,ACT_NDO_20151129,,,4,44,1,5,,Non,Non,Non,Non,Non,Non,Non,Ndoro,Ouaka,Kouango,,5.141333,20.392742
01.02.2016,12.01.2016,13.01.2016,ACF,2016,ACF_Boh_20160112,96,406,4,26,12,83,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bohong,Ouham Pende,Bocaranga,,6.49734,15.656105
