SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,Axe,AlerteID,Nb_localités_affectés,Menage_deplaces,Individus_deplaces,Menage_retournes,Individus_retournes,Menages_acceuil,Individus_acceuil,individus_communaute_hote,menages_communaute_hote,Date_rapport_envoyé_CoPil,Score_NFI,X_de_menages_vivant_ds_un_abris_en_dessous_des_standard,X_des_menages_ayant_acces_a_une_latrine_hygienique,X_des_menages_avec_un_source_eau_potable_amelioree,Taux_diarrhee_chez_les_enfants_de_moins_de_5_ans_..._au_cours_des_2_dernieres_semaines,Score_Consommation_alimentaire,X_score_de_Consommation_alimentaire_Acceptable,X_score_de_Consommation_alimentaire_Limite,X_score_de_Consommation_alimentaire_Pauvre,X_d.ecole_fonctionnelles,MSAcount,Population_affectees,Status_Complete,Status_Prevu,Status_En_cours,Status_En_attente,Status_Annule,Delai_INT_Disponibilite,Delai_INT_Coordination_humanitaire,Delai_INT_Defaillance_BD,Delai_INT_Intervention_multiple,Delai_INT_NA,Delai_INT_Autre,Delai_EXT_Necessite_reevaluer,Delai_EXT_Acces_logistique,Delai_EXT_Suspension_logistique,Delai_EXT_Acceptance_parties_prenantes,Equipe RRM ciblé ou touché par un incident pendant la MSA,Delai_EXT_Acces_securitaire,Delai_EXT_Suspension_securitaire,Delai_EXT_NA,Delai_EXT_Autre,Annulation_Conversion_MEX,Annulation_Planification,Annulation_Autre,Annulation_NA,Status_Rapport_En cours,Status_Rapport_Envoye_CoPil,Recommandation_Intervention_NFI,Recommandation_Intervention_EAH,Recommandation_Pas_intervention,Recommandation_Intervention_Sante,Recommandation_Intervention_Protection,Recommandation_Securite_Alimentaire,Recommandation_Intervention_Education,Recommandation_Intervention_Logistique,Code_Prefecture,Prefecture,Code_SousPréfecture,SousPrefecture,Code_Commune,Commune,Code_Arrondissement,Arrondissement,Longitude,Latitude,year,month,startDate
483717655,27.02.2015,08.06.2014,11.06.2014,ACTED,Djangala,,ACTED_2014_02,,0,0,0,0,0,0,,,,4.2,0,0,0,,,25,37,38,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouaka,,Grimari,,Lissa,,,20.112460,5.850333,2014,Juin,08.06.2014
189584783,27.02.2015,11.06.2014,12.06.2014,IRC,Bolele,,IRC_2014_01,,0,0,0,0,0,14000,,,,4.0,80,0,56,,,43,36,21,50,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham Pende,,Bocaranga,,Pende,,,15.689212,6.883931,2014,Juin,11.06.2014
277876994,27.02.2015,13.06.2014,14.06.2014,ACTED,Bambari,,ACTED_2014_08,,0,219,0,0,0,0,,,,4.7,0,0,68,,,8,26,64,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouaka,,Bambari,,Bambari,,,20.654183,5.764845,2014,Juin,13.06.2014
89542407,27.02.2015,15.06.2014,15.06.2014,ACF,Bozelet 2,,ACF_2014_10,,115,705,0,0,0,0,,,,4.3,59,0,86,,,11,37,52,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham,,Bossangoa,,Ndoro Mboli,,,17.386292,6.585850,2014,Juin,15.06.2014
914844122,27.02.2015,15.06.2014,15.06.2014,SI,Kengar,,SI_2014_04,,88,378,0,0,0,0,,,,4.3,0,0,0,,,0,0,0,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Ouham,,Kabo,,Sido,,,18.667386,7.833433,2014,Juin,15.06.2014
570093784,27.02.2015,23.06.2014,23.06.2014,ACF,Djalinga,,ACF_2014_21,,0,0,0,0,0,395,,,,4.1,23,0,0,,,21,35,44,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Nana-Mambere,,Bouar,,Herman-Brousse,,,15.753291,6.343725,2014,Juin,23.06.2014
2044659267,27.02.2015,26.06.2014,27.06.2014,ACTED,Zongayassi,,ACTED_2014_15,,0,0,0,0,0,0,,,,4.4,36,3,8,,,2,31,67,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouaka,,Grimari,,Lissa,,,20.054886,5.605088,2014,Juin,26.06.2014
371948100,27.02.2015,27.06.2014,29.06.2014,ACTED,Bambari,,ACTED_2014_06,,2590,15144,0,0,0,0,,,,3.9,0,12,35,,,18,36,46,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouaka,,Bambari,,Bambari,,,20.654183,5.764845,2014,Juin,27.06.2014
485271975,27.02.2015,07.07.2014,11.07.2014,PU-AMI,Toro,,PU-AMI_2014_06,,0,1929,0,357,0,27163,,,,4.2,37,0,23,,,43,33,24,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Mambere-Kadei,,Gadzi,,Topia,,,16.348151,4.876470,2014,Juillet,07.07.2014
417556169,27.02.2015,09.07.2014,09.07.2014,PU-AMI,Bekakpolo,,PU-AMI_2014_05,,0,0,0,0,3016,18000,,,,4.2,36,9,50,,,51,40,10,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Lobaye,,Boganangone,,Boganangone,,,17.192534,4.807470,2014,Juillet,09.07.2014
