SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,Axe,AlerteID,Nb_localités_affectés,Menage_deplaces,Individus_deplaces,Menage_retournes,Individus_retournes,Menages_acceuil,Individus_acceuil,individus_communaute_hote,menages_communaute_hote,Date_rapport_envoyé_CoPil,Score_NFI,X_de_menages_vivant_ds_un_abris_en_dessous_des_standard,X_des_menages_ayant_acces_a_une_latrine_hygienique,X_des_menages_avec_un_source_eau_potable_amelioree,Taux_diarrhee_chez_les_enfants_de_moins_de_5_ans_..._au_cours_des_2_dernieres_semaines,Score_Consommation_alimentaire,X_score_de_Consommation_alimentaire_Acceptable,X_score_de_Consommation_alimentaire_Limite,X_score_de_Consommation_alimentaire_Pauvre,X_d.ecole_fonctionnelles,MSAcount,Population_affectees,Status_Complete,Status_Prevu,Status_En_cours,Status_En_attente,Status_Annule,Delai_INT_Disponibilite,Delai_INT_Coordination_humanitaire,Delai_INT_Defaillance_BD,Delai_INT_Intervention_multiple,Delai_INT_NA,Delai_INT_Autre,Delai_EXT_Necessite_reevaluer,Delai_EXT_Acces_logistique,Delai_EXT_Suspension_logistique,Delai_EXT_Acceptance_parties_prenantes,Equipe RRM ciblé ou touché par un incident pendant la MSA,Delai_EXT_Acces_securitaire,Delai_EXT_Suspension_securitaire,Delai_EXT_NA,Delai_EXT_Autre,Annulation_Conversion_MEX,Annulation_Planification,Annulation_Autre,Annulation_NA,Status_Rapport_En cours,Status_Rapport_Envoye_CoPil,Recommandation_Intervention_NFI,Recommandation_Intervention_EAH,Recommandation_Pas_intervention,Recommandation_Intervention_Sante,Recommandation_Intervention_Protection,Recommandation_Securite_Alimentaire,Recommandation_Intervention_Education,Recommandation_Intervention_Logistique,Code_Prefecture,Prefecture,Code_SousPréfecture,SousPrefecture,Code_Commune,Commune,Code_Arrondissement,Arrondissement,Longitude,Latitude,year,month,startDate
1199278820,23.03.2015,23.01.2015,25.01.2015,ACF,Bondiba,,ACF_BON_20141216,,94,388,,,,,,,,4.1,53,29,100,15,29,5,71,24,100,1,,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Nana-Mambere,,Baboua,,Baboua,,,14.794725,5.535135,2015,Janvier,23.01.2015
575877285,23.03.2015,12.02.2015,13.02.2015,PU-AMI,Nassole,,PU_NAS_20150211,,282,1410,,,,,,,2015/02/18,4.2,13,42,8,38,31,,,,,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,,Mambere-Kadei,,Berberati,,Ouakanga,,,15.375248,4.258509,2015,Février,12.02.2015
688102721,24.03.2015,18.02.2015,18.02.2015,ACF,Gbabiro,,ACF_GBA_20150218,,,,,,,,,,,4.6,22,0,1,25,20,5,22,73,0,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Ouham,,Bossangoa,,Ben Zambe,,,17.697580,6.849218,2015,Février,18.02.2015
135154612,03.03.2015,18.02.2015,18.02.2015,ACF,Sabewa,,ACF_SAB_20150204,,402,1575,0,0,0,0,,,,4.0,16,97,6,36,40,34,47,19,0,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Nana-Mambere,,Bouar,,Niem-Yelewa,,,14.982606,6.668017,2015,Février,18.02.2015
270018408,03.03.2015,19.02.2015,21.02.2015,ACTED,Ngakobo,,ACTED_NGA_20150208,,,5770,0,0,0,0,,,,3.9,10,14,99,31,,40,,,100,1,,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,,Ouaka,,Bambari,,Ngougbia,,,20.730846,5.339652,2015,Février,19.02.2015
1460004019,23.03.2015,23.02.2015,23.02.2015,ACF,Bofire,,ACF_GBB_20150220,,243,1215,,,,,,,,4.5,28,0,0,49,26,7,36,58,,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Ouham,,Bossangoa,,Ben Zambe,,,17.766026,6.718610,2015,Février,23.02.2015
777443287,23.03.2015,04.03.2015,05.03.2015,PU-AMI,Amada Gaza,,PU_AMA_20150213,,143,713,,,,,,,2015/03/08,4.1,,0,1,12,34,,,,,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Mambere-Kadei,,Amada-Gaza,,,,,15.209111,4.768658,2015,Mars,04.03.2015
502561790,27.03.2015,04.03.2015,05.03.2015,SI,Kaga-Bandoro,,SI_BOT_20150127,,1487,,,,,,,,2015/03/06,4.6,21,,89,24,28,18,39,43,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non,,Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,,19.185733,6.992369,2015,Mars,04.03.2015
1412581083,23.03.2015,05.03.2015,05.03.2015,DRC,Batangafo,,DRC_BAT_20150302,,986,7081,,,,,,,,3.5,79,8,,21,33,,,,25,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non,,Ouham,,Batangafo,,Batangafo,,,18.285135,7.300987,2015,Mars,05.03.2015
1846048074,23.03.2015,10.03.2015,10.03.2015,ACF,Kaboro,,ACF_KAB_20150305,,104,1060,,,500,2495,,,,4.6,46,18,0,27,25,0,48,52,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Ouham,,Nana-Bakassa,,Nana-Bakassa,,,17.529444,6.970833,2015,Mars,10.03.2015
522265428,27.03.2015,11.03.2015,11.03.2015,DRC,Sanguere 3,,DRC_SAN_20150225,,,,,,,,,,2015/04/06,3.6,14,2,0,16,27,22,20,58,50,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Ouham Pende,,Koui,,Koui,,,15.337074,6.966833,2015,Mars,11.03.2015
1643873740,23.03.2015,17.03.2015,19.03.2015,ACTED,Lihoto,,ACTED_LIH_20150206,,120,600,,,,,8000,1600,2015/03/22,4.3,25,4,11,41,41,,,,0,1,,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Ouaka,,Kouango,,Azengue-Mindou,,,20.158370,5.312277,2015,Mars,17.03.2015
697054553,06.04.2015,20.03.2015,21.03.2015,DRC,Bokaioua,,DRC_BOK_20150209,,,,439,3512,689,5512,,,,3.8,44,0,53,45,31,31,,,100,1,,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,,Ouham,,Kabo,,Ouaki,,,18.538442,7.279787,2015,Mars,20.03.2015
1532153484,04.04.2015,25.03.2015,28.03.2015,ACTED,Dembia,,ACTED_DEM_20150317,,,,872,4360,,,,,2015/04/07,4.2,49,3,4,53,35,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,,Mbomou,,Rafai,,Rafai,,,25.078602,5.955747,2015,Mars,25.03.2015
1000673846,14.04.2015,27.03.2015,27.03.2015,SI,Grevai,,SI_MBR_20141216,,45,261,,,,,,,2014/04/12,4.3,100,0,0,5,30,13,51,36,0,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Non,,Nana-Gribizi,,Kaga-Bandoro,,,,,19.427128,7.064633,2015,Mars,27.03.2015
481305997,07.04.2015,01.04.2015,02.04.2015,SI,Yagarandji,,SI_NDE_20150320,,1351,,,,,,,,2015/04/12,4.5,57,0,55,24,28,24,18,58,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Non,,Nana-Gribizi,,Kaga-Bandoro,,Ndenga,,,19.175784,6.841398,2015,Avril,01.04.2015
297942008,19.04.2015,04.04.2015,07.04.2015,DRC,Mbada,,DRC_MBA_20150110,,413,2009,118,552,,,4385,,19/04/2015,4.4,10,0,69,47,17,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Non,,Ouham,,Bouca,,Lady Gbawi,,,18.562368,6.865547,2015,Avril,04.04.2015
198060581,20.04.2015,08.04.2015,10.04.2015,ACTED,Goussiéma,,ACTED_GOU_20150319,,,,,,,,,,2015/04/29,,,,,,,,,,,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,,Ouaka,,Kouango,,Kouango,,,20.126750,5.395833,2015,Avril,08.04.2015
1677696983,14.04.2015,08.04.2015,10.04.2015,PU-AMI,Gamboula,,PU_NOU_20150331,,350,2200,0,0,,,,,2015/04/13,4.2,67,0,68,32,2,15,47,39,100,1,,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,,Mambere-Kadei,,Gamboula,,Basse-Boumne,,,15.137363,4.121131,2015,Avril,08.04.2015
1356863352,21.04.2015,14.04.2015,17.04.2015,ACTED,Derbissaka,,ACTED_DER_20150227,,,,597,2984,,,,,2015/04/21,4.3,60,1,2,72,42,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,,Mbomou,,Rafai,,Rafai,,,24.847812,5.774286,2015,Avril,14.04.2015
1668318771,14.04.2015,16.04.2015,17.04.2015,ACF,Kouki,,ACF_KOU_20150325,,0,0,1400,7000,0,0,,,20150421,4.2,52,7,55,37,,41,38,21,100,1,,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Ouham,,Nana-Bakassa,,Nana-Bakassa,,,17.309082,7.166343,2015,Avril,16.04.2015
1561627630,23.04.2015,21.04.2015,23.04.2015,ACTED,Ippy,,ACTED_IPP_20150421,,,,,,,,24274,,2015/07/04,3.4,8,6,0,31,45,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Ouaka,,Ippy,,Ippy,,,21.195078,6.271642,2015,Avril,21.04.2015
1036864216,05.05.2015,22.04.2015,23.04.2015,DRC,Gbama,,DRC_GBA_20150422,,,,,,,,,,,4.0,18,2,63,22,25,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Ouham Pende,,Ngaoundaye,,Kodi,,,15.528408,7.300603,2015,Avril,22.04.2015
364185032,22.04.2015,23.04.2015,25.04.2015,ACTED,Gbolo,,ACTED_GBO_20150524,,,,,,,,,,,,,,,,,,,,,1,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Mbomou,,Bakouma,,Bakouma,,,22.748606,5.698269,2015,Avril,23.04.2015
1978597885,23.04.2015,23.04.2015,24.04.2015,DRC,Doko,,DRC_DOK_20150422,,91,,463,,,,,610,,4.0,14,2,90,29,31,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,,Ouham Pende,,Ngaoundaye,,Kodi,,,15.527531,7.161031,2015,Avril,23.04.2015
295059628,05.05.2015,23.04.2015,24.04.2015,DRC,Ndoubou,,DRC_NDO_20150422,,151,755,,,,,415,83,2015/05/05,4.1,48,56,70,18,37,,,,,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non,,Ouham,,Batangafo,,Batangafo,,,18.320867,7.314133,2015,Avril,23.04.2015
803428375,28.04.2015,23.04.2015,24.04.2015,PU-AMI,Gadzi,,PU_GAD_20150422,,,,30,150,,,16000,3200,2015/04/27,3.9,,71,16,47,32,24,40,36,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,,Mambere-Kadei,,Gadzi,,Topia,,,16.704898,4.779685,2015,Avril,23.04.2015
1526101856,04.05.2015,27.04.2015,30.04.2015,PU-AMI,Bamingui,,PU_BAM_20150320,,62,309,80,400,,,,,2015/05/04,3.4,,,35,35,47,,,,75,1,,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,,Bamingui-Bangoran,,Bamingui,,Vassako,,,20.179799,7.530107,2015,Avril,27.04.2015
1377416291,05.05.2015,29.04.2015,01.05.2015,PU-AMI,Boy bale,,PU_MBA_20150313,,,,,,,,16787,3357,2015/05/05,4.3,49,,3,43,34,33,28,39,86,1,,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,,Mambere-Kadei,,Gadzi,,Mbali,,,16.757124,5.225732,2015,Avril,29.04.2015
604858360,28.04.2015,04.05.2015,04.05.2015,ACF,Bowara,,ACF_BOW_20150417,,,,1100,5500,,,,,20150507,4.4,65,0,22,32,,37,43,19,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,,Ouham,,Nana-Bakassa,,Nana-Bakassa,,,17.384206,7.169761,2015,Mai,04.05.2015
182032416,12.05.2015,05.05.2015,05.05.2015,PU-AMI,Berberati,,PU_EVE_20150501,,11,,0,,0,,0,,2015/05/07,3.2,,,,,,,,,,1,,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,,Mambere-Kadei,,Berberati,,Basse-Batouri,,,15.787529,4.255473,2015,Mai,05.05.2015
1614975473,08.05.2015,06.05.2015,08.05.2015,ACTED,Kpadou,,ACTED_KPA_20150505,,,,,,,,8775,1755,2015/05/18,3.7,6,3,4,62,35,,,,0,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,,Basse-Kotto,,Kembe,,Mboui,,,21.375632,4.531658,2015,Mai,06.05.2015
1227001314,12.05.2015,06.05.2015,06.05.2015,DRC,Gbandou,,DRC_GBA_20150506,,,,265,1325,,,,,2015/05/13,4.4,67,0,0,53,39,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Non,,Ouham,,Bouca,,Fafa Boungou,,,18.348850,6.000000,2015,Mai,06.05.2015
802311668,12.05.2015,08.05.2015,10.05.2015,ACF,Koui,,ACF_KOU_20150501,,,,360,1800,,,,,20150512,3.7,23,4,83,22,,78,19,3,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,,Ouham Pende,,Koui,,Koui,,,15.453221,6.951955,2015,Mai,08.05.2015
1671829201,19.05.2015,08.05.2015,11.05.2015,ACTED,Zabé,,ACTED_ZAB_20150422,,,,158,790,,,,,20150523,4.1,32,2,2,52,47,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,,Mbomou,,Bakouma,,Bakouma,,,22.235056,5.908856,2015,Mai,08.05.2015
2074879868,12.05.2015,12.05.2015,13.05.2015,PU-AMI,Korando,,PU_KOR_20150507,,95,475,,,20,100,,,2015/05/15,3.8,43,0,37,36,36,22,43,37,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,,Mambere-Kadei,,Gamboula,,Basse-Boumne,,,15.225398,4.199319,2015,Mai,12.05.2015
643146912,12.05.2015,13.05.2015,14.05.2015,DRC,Badama,,DRC_BAD_20150506,,10,,380,,,,,1,2015/05/23,4.0,7,0,100,29,29,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,,Ouham,,Markounda,,Nana Markounda,,,16.992660,7.574630,2015,Mai,13.05.2015
1494392604,12.05.2015,15.05.2015,16.05.2015,DRC,Bodjomo,,DRC_BOD_20150506,,,,532,1300,,,,,,4.3,15,0,90,22,29,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,,Ouham,,Markounda,,Nana Markounda,,,17.136638,7.418152,2015,Mai,15.05.2015
641032412,21.05.2015,20.05.2015,20.05.2015,ACTED,Guenekoumba,,ACTED_GUE_20150425,,,,178,889,,,,,26/05/15,4.3,32,73,94,46,45,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,,Mbomou,,Rafai,,Rafai,,,24.585240,5.092950,2015,Mai,20.05.2015
1159276164,19.05.2015,21.05.2015,21.05.2015,ACF,Bodé,,ACF_BOD_20150519,,,,717,3585,,,,,20150525,4.2,21,0,55,42,35,33,45,22,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Ouham,,Batangafo,,Batangafo,,,17.428594,7.171736,2015,Mai,21.05.2015
883864745,09.06.2015,04.06.2015,05.06.2015,ACTED,Ngakobo,,ACTED_BOY_20150603,,158,626,,,,,,,2015/06/09,4.2,,3,76,39,27,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,,Ouaka,,Bambari,,Ngougbia,,,20.730846,5.339652,2015,Juin,04.06.2015
629004340,05.06.2015,05.06.2015,06.06.2015,ACTED,Boy Kota,,ACTED_BOY_20150603,,,,,,,,,,,,,,,,,,,,,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,,Ouaka,,Kouango,,Cochio-Toulou,,,20.576496,5.158270,2015,Juin,05.06.2015
1849714924,09.06.2015,05.06.2015,07.06.2015,PU-AMI,Ngarba,,PU_NGA_20150501,,,,160,800,,,,,20150611,3.3,24,0,3,30,51,92,8,0,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,,Bamingui-Bangoran,,Ndele,,Dar El Kouti,,,20.496477,9.203859,2015,Juin,05.06.2015
1027905943,07.07.2015,08.06.2015,09.06.2015,SI,Kaga-Bandoro,,SI_BIS-20150602,,,,,,,,,,,,,,,,,,,,,1,,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,,19.185733,6.992369,2015,Juin,08.06.2015
1695714754,16.06.2015,11.06.2015,13.06.2015,ACF,Baboua,,ACF_BAB_20150606,,232,1193,,,,,,,2015/06/16,4.3,3,1,16,29,26,11,42,48,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,,Nana-Mambere,,Baboua,,Baboua,,,14.832919,5.806589,2015,Juin,11.06.2015
923010176,07.07.2015,11.06.2015,12.06.2015,SI,Kaga-Bandoro,,SI_BAM_20150516,,332,1992,0,0,0,0,0,0,2015/07/06,3.9,90,5,100,32,33,25,44,34,100,1,,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,,Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,,19.185733,6.992369,2015,Juin,11.06.2015
1177458469,16.06.2015,12.06.2015,13.06.2015,ACTED,Lanome,,ACTED_LAN_20150612,,,,,,,,,,2015/06/19,3.5,26,6,70,53,45,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,,Mbomou,,Bangassou,,Zangandou,,,23.071976,4.823766,2015,Juin,12.06.2015
1977400657,16.06.2015,16.06.2015,18.06.2015,PU-AMI,Dilapoko,,PU_DIL_20150609,,,,,,,,,,,,,,,,,,,,,1,,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Mambere-Kadei,,Gamboula,,Basse-Boumne,,,15.091660,4.363720,2015,Juin,16.06.2015
1188033721,16.06.2015,16.06.2015,19.06.2015,PU-AMI,Boulkinia,,PU_NGA_20150501,,,,100,520,,,,,2015/06/24,3.6,15,0,18,26,46,79,19,2,100,1,,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,,Bamingui-Bangoran,,Ndele,,Dar El Kouti,,,20.617520,8.971314,2015,Juin,16.06.2015
57171344,18.06.2015,17.06.2015,18.06.2015,ACTED,Goya,,ACT_GOY_20150616,,164,818,,,,,3555,711,2015/06/23,4.2,28,3,0,30,37,,,,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Ouaka,,Kouango,,Cochio-Toulou,,,20.686183,4.928531,2015,Juin,17.06.2015
945032167,30.06.2015,23.06.2015,26.06.2015,PU-AMI,Mboussa,,PU_NOL_20150601,,,,50,250,,,25000,5000,2015/06/30,3.5,14,1,27,41,47,67,25,8,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,,Sangha-Mbaere,,Nola,,Nola,,,16.197823,3.715970,2015,Juin,23.06.2015
965020265,23.06.2015,23.06.2015,26.06.2015,PU-AMI,Nola,,PU_NOL_20150620,,160,800,,,,,,,20150630,3.5,30,3,56,24,40,51,38,11,100,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,,Sangha-Mbaere,,Nola,,Nola,,,16.044940,3.524026,2015,Juin,23.06.2015
