"type","id","locationName","partnerName","activity","activityName","startDate","endDate","Population_affectee_menages","Population_affectee_individus","Proposition_d.action.Plaidoyer_acces_securitaire","Proposition_d.action.Monitoring_protection","Proposition_d.action.Intervention.s._directe.s.","Proposition_d.action.MSA_complete","Proposition_d.action.Rehabilitation_acces_logistique","Proposition_d.action.Evaluation_sectorielle","Proposition_d.action.Autre","Proposition_d.action.Suivi_du_retour_des_déplacés","Nature_du_choc.Violence","Nature_du_choc.Catastrophe_naturelle","Type_de_population.Deplaces","Type_de_population.Retours","Type_de_population.Autre","Type_de_population.Communaute_hote","type.1","geo","X","Y","month","year","REGION_NOM","PREF_NOM","SPREF_NOM","COM_NOM","pop_type","proposition","Nature_choc"
"Feature","1370610428","Dilapoko","PU-AMI","16227","MISSION EXPLORATOIRE","2015-02-25","2015-02-25","35","200","Plaidoyer_acces_securitaire","Monitoring_protection",NA,NA,NA,NA,NA,NA,"Violence",NA,"Deplaces",NA,NA,NA,"Point","4.36372,15.09166","15.09166","4.36372","2015-02","2015","Equateur","Mambéré-Kadéï","Gamboula","Basse-Boumné","Deplaces","Plaidoyer_acces_securitaire Monitoring_protection","Violence"
"Feature","1388830012","Lihoto","ACTED","16227","MISSION EXPLORATOIRE","2015-03-04","2015-03-04","0","0",NA,NA,NA,"MSA_complete",NA,NA,NA,NA,"Violence",NA,NA,NA,NA,"Communaute_hote","Point","5.312277,20.15837","20.15837","5.312277","2015-03","2015","Kagas","Ouaka","Kouango","Azéngué-Mindou","Communaute_hote","MSA_complete","Violence"
"Feature","1527344280","Kaboro","ACF","16227","MISSION EXPLORATOIRE","2015-03-06","2015-03-06","120","599",NA,NA,NA,"MSA_complete",NA,NA,NA,NA,"Violence",NA,"Deplaces",NA,NA,NA,"Point","6.97083333333,17.52944444444","17.52944444444","6.97083333333","2015-03","2015","Yadé","Ouham","Nana-Bakassa","Nana-Bakassa","Deplaces","MSA_complete","Violence"
"Feature","1583905516","Ore","PU-AMI","16227","MISSION EXPLORATOIRE","2015-02-25","2015-02-25","50","250",NA,"Monitoring_protection",NA,NA,NA,NA,"Autre",NA,"Violence",NA,NA,"Retours",NA,NA,"Point","4.36489722222222,15.0821694444444","15.0821694444444","4.36489722222222","2015-02","2015","Equateur","Mambéré-Kadéï","Gamboula","Basse-Boumné","Retours","Autre Monitoring_protection","Violence"
"Feature","1610273571","Dédé Makbouba","PU-AMI","16227","MISSION EXPLORATOIRE","2015-03-18","2015-03-18","60","300",NA,"Monitoring_protection",NA,NA,NA,NA,NA,NA,"Violence",NA,"Deplaces","Retours",NA,NA,"Point","3.91666666667,15.24281944444","15.24281944444","3.91666666667","2015-03","2015","Equateur","Mambéré-Kadéï","Dédé-Mokouba","Haute-Kadéi","Deplaces Retours","Monitoring_protection","Violence"
"Feature","1623940407","Dimbi","ACTED","16227","MISSION EXPLORATOIRE","2015-02-13","2015-02-13","0","18000",NA,"Monitoring_protection",NA,NA,NA,NA,NA,NA,"Violence",NA,"Deplaces",NA,NA,NA,"Point","4.624735,21.72028","21.72028","4.624735","2015-02","2015","Haut-Oubangui","Basse-Kotto","Kembé","Kembé","Deplaces","Monitoring_protection","Violence"
"Feature","1671842308","Bebingui","DRC","16227","MISSION EXPLORATOIRE","2015-03-05","2015-03-05","31","50","Plaidoyer_acces_securitaire","Monitoring_protection","Intervention_directe","MSA_complete",NA,NA,NA,NA,"Violence",NA,NA,"Retours",NA,NA,"Point","7.814075,16.526","16.526","7.814075","2015-03","2015","Yadé","Ouham Pendé","Paoua","Mia-Péndé","Retours","Plaidoyer_acces_securitaire Intervention_directe MSA_complete Monitoring_protection","Violence"
"Feature","1733287360","Ouazzoua","ACTED","16227","MISSION EXPLORATOIRE","2015-02-10","2015-02-10","0","226",NA,NA,NA,NA,NA,"Evaluation_sectorielle",NA,NA,NA,"Catastrophe_naturelle","Deplaces",NA,NA,NA,"Point","4.27040833333333,22.4184611111111","22.4184611111111","4.27040833333333","2015-02","2015","Haut-Oubangui","Mbomou","Ouango","Ouango","Deplaces","Evaluation_sectorielle","Catastrophe_naturelle"
"Feature","1841466723","Yongoro Mbolaye","ACF","16227","MISSION EXPLORATOIRE","2015-02-21","2015-02-21","1151","5753",NA,NA,NA,NA,NA,"Evaluation_sectorielle",NA,NA,"Violence",NA,NA,"Retours",NA,NA,"Point","6.235382,15.586952","15.586952","6.235382","2015-02","2015","Equateur","Nana-Mambéré","Bouar","Herman-Brousse","Retours","Evaluation_sectorielle","Violence"
"Feature","2027529108","Togo","ACTED","16227","MISSION EXPLORATOIRE","2015-03-12","2015-03-12","203","1016",NA,NA,"Intervention_directe",NA,NA,NA,NA,NA,"Violence",NA,"Deplaces",NA,NA,NA,"Point","5.880615,20.57274","20.57274","5.880615","2015-03","2015","Kagas","Ouaka","Bambari","Pladama-Ouaka","Deplaces","Intervention_directe","Violence"
"Feature","2047096397","Mobaye - gp Mangbango","ACTED","16227","MISSION EXPLORATOIRE","2015-02-25","2015-02-25","558","4469",NA,NA,NA,NA,NA,NA,NA,"Suivi_de_retour_des_deplaces","Violence",NA,"Deplaces",NA,NA,NA,"Point","4.31970833333333,21.1768333333333","21.1768333333333","4.31970833333333","2015-02","2015","Haut-Oubangui","Basse-Kotto","Mobaye","Mobaye","Deplaces","Suivi_de_retour_des_deplaces","Violence"
"Feature","2133245194","Boyongo-Kette","ACF","16227","MISSION EXPLORATOIRE","2015-01-23","2015-01-23","26","130",NA,NA,"Intervention_directe",NA,NA,NA,NA,NA,"Violence",NA,"Deplaces",NA,NA,NA,"Point","6.52636111111,17.36229","17.36229","6.52636111111","2015-01","2015","Yadé","Ouham","Bossangoa","Ndoro Mboli","Deplaces","Intervention_directe","Violence"
