"type","id","locationName","geo","X","Y","REGION_NOM","PREF_NOM","month","partnerName","activity","activityName","startDate","endDate","year","SPREF_NOM","COM_NOM","intervention_type","variable","numbers"
"Feature","1888755627","Kaga-Bandoro","6.99236944444444,19.1857333333333","19.1857333333333","6.99236944444444","Kagas","Nana-Gribizi","2014-06","SI","13327","INTERVENTION","2014-06-07","2014-07-11","2014","Kaga-Bandoro","Kaga-Bandoro","NFI","NFI_Savons",16519
"Feature","2040360374","Kabo","7.69704166666667,18.6252583333333","18.6252583333333","7.69704166666667","Yadé","Ouham","2014-08","SI","13327","INTERVENTION","2014-08-22","2014-08-22","2014","Kabo","Sido","NFI","NFI_Savons",1602
"Feature","2053797164","Gbabiro","6.849218,17.69758","17.69758","6.849218","Yadé","Ouham","2015-03","ACF","13327","INTERVENTION","2015-03-03","2015-03-06","2015","Bossangoa","Ben Zambé","NFI/WASH","NFI_Savons",2232
"Feature","2143562893","Kaké","6.83371666666667,15.8155055555556","15.8155055555556","6.83371666666667","Yadé","Ouham Pendé","2014-06","IRC","13327","INTERVENTION","2014-06-27","2014-07-15","2014","Bocaranga","Péndé","NFI","NFI_Savons",10362
"Feature","94832746","Bangui","4.39399444444444,18.5329055555556","18.5329055555556","4.39399444444444","Bas-Oubangui","Bangui","2014-06","ACF","13327","INTERVENTION","2014-06-05","2014-07-04","2014","Bangui","Bangui","WASH","NFI_Nattes",0
"Feature","98821588","Berberati","4.26018055555556,15.7904861111111","15.7904861111111","4.26018055555556","Equateur","Mambéré-Kadéï","2014-04","ACF","13327","INTERVENTION","2014-04-21","2014-05-09","2014","Berbérati","Basse-Batouri","WASH","NFI_Nattes",0
"Feature","115393556","Bondiba","5.535135,14.794725","14.794725","5.535135","Equateur","Nana-Mambéré","2015-01","ACF","13327","INTERVENTION","2015-01-30","2015-02-01","2015","Baboua","Baboua","NFI/WASH","NFI_Nattes",244
"Feature","196757754","Moyenne Sido","8.22508333333333,18.7114333333333","18.7114333333333","8.22508333333333","Yadé","Ouham","2014-06","SI","13327","INTERVENTION","2014-06-25","2014-06-25","2014","Kabo","Sido","NFI","NFI_Nattes",24
"Feature","265721479","Bambari","5.75466666666667,20.6785861111111","20.6785861111111","5.75466666666667","Kagas","Ouaka","2014-06","ACTED","13327","INTERVENTION","2014-06-14","2014-06-15","2014","Bambari","Bambari","NFI","NFI_Nattes",438
"Feature","407345956","Demba Batéké","4.98116388888889,16.272125","16.272125","4.98116388888889","Equateur","Mambéré-Kadéï","2014-08","PU-AMI","13327","INTERVENTION","2014-08-01","2014-08-01","2014","Gadzi","Topia","NFI","NFI_Nattes",520
