"type","id","locationName","partnerName","activity","activityName","startDate","endDate","Nombre_de_Menages_affectes","Nombre_de_personnes_affectees_alerte","Acces_humanitaire.Oui","Acces_humanitaire.Non_logistique","Acces_humanitaire.Non_autre","Acces_humanitaire.Non_securite","Continue_Investigation.Non","Continue_Investigation.Oui","Alerte_en_cours.Oui","Nature_du_choc.Violences","Nature_du_choc.Catastrophe_naturelle","Population_affectee.Retours","Population_affectee.Communaute_hoste","Population_affectee.Deplaces","Population_affectee.Autre","type.1","geo","X","Y","month","year","REGION_NOM","PREF_NOM","SPREF_NOM","COM_NOM","acces","continu","alerte_cours","nature","pop_affect"
"Feature","738315463","Kouki","ACF","16228","INCIDENTS","2015-02-07","2015-02-23","0","0","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,NA,NA,"Deplaces",NA,"Point","7.166343,17.309082","17.309082","7.166343","2015-02","2015","Yadé","Ouham","Nana-Bakassa","Nana-Bakassa","Oui","Oui","Oui","Violence","Deplaces"
"Feature","747969637","Boyongo-Kette","ACF","16228","INCIDENTS","2014-12-11","2014-12-11","26","130","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,NA,NA,"Deplaces",NA,"Point","6.52636111111,17.36229","17.36229","6.52636111111","2014-12","2014","Yadé","Ouham","Bossangoa","Ndoro Mboli","Oui","Oui","Oui","Violence","Deplaces"
"Feature","749280807","Bambari","ACTED","16228","INCIDENTS","2015-02-12","2015-02-23","0","10000",NA,"Non-logistique",NA,NA,"Non",NA,"Oui","Violence",NA,NA,NA,"Deplaces",NA,"Point","5.764845,20.654183","20.654183","5.764845","2015-02","2015","Kagas","Ouaka","Bambari","Bambari","Non-logistique","Non","Oui","Violence","Deplaces"
"Feature","770634371","Gamboula","PU-AMI","16228","INCIDENTS","2015-02-04","2015-02-04","0","0","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,NA,NA,"Deplaces",NA,"Point","4.121131,15.137363","15.137363","4.121131","2015-02","2015","Equateur","Mambéré-Kadéï","Gamboula","Basse-Boumné","Oui","Oui","Oui","Violence","Deplaces"
"Feature","772365741","Babaza 1","DRC","16228","INCIDENTS","2015-01-20","2015-02-23","325","1841",NA,"Non-logistique",NA,NA,"Non",NA,"Oui","Violence",NA,NA,NA,"Deplaces",NA,"Point","5.165305,14.933058","14.933058","5.165305","2015-01","2015","Equateur","Nana-Mambéré","Abba","Abba","Non-logistique","Non","Oui","Violence","Deplaces"
"Feature","820870656","Gbabiro","ACF","16228","INCIDENTS","2015-01-08","2015-02-12","0","0","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,NA,NA,"Deplaces",NA,"Point","6.849218,17.69758","17.69758","6.849218","2015-01","2015","Yadé","Ouham","Bossangoa","Ben Zambé","Oui","Oui","Oui","Violence","Deplaces"
"Feature","842390040","Bobani 2","DRC","16228","INCIDENTS","2015-01-09","2015-02-23","0","0",NA,NA,"Non - autre",NA,"Non",NA,"Oui","Violence",NA,NA,NA,"Deplaces",NA,"Point","6.771083,16.592829","16.592829","6.771083","2015-01","2015","Yadé","Ouham Pendé","Paoua","Mom","Non - autre","Non","Oui","Violence","Deplaces"
"Feature","847776525","Kouango","ACTED","16228","INCIDENTS","2015-02-16","2015-02-23","0","0",NA,"Non-logistique",NA,NA,"Non",NA,"Oui","Violence",NA,NA,NA,NA,"Autre","Point","4.992821,19.973607","19.973607","4.992821","2015-02","2015","Kagas","Ouaka","Kouango","Kouango","Non-logistique","Non","Oui","Violence","Autre"
"Feature","881249679","Besson","ACF","16228","INCIDENTS","2014-12-20","2015-02-10","85","381",NA,NA,NA,"Non-securite",NA,"Oui","Oui","Violence",NA,NA,"Communaute_hote",NA,NA,"Point","6.258945,14.816071","14.816071","6.258945","2014-12","2014","Equateur","Nana-Mambéré","Baboua","Goudrot","Non-securite","Oui","Oui","Violence","Communaute_hote"
"Feature","881942888","Bondiba","ACF","16228","INCIDENTS","2014-12-10","2014-12-10","0","0","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,NA,NA,"Deplaces",NA,"Point","5.535135,14.794725","14.794725","5.535135","2014-12","2014","Equateur","Nana-Mambéré","Baboua","Baboua","Oui","Oui","Oui","Violence","Deplaces"
"Feature","883365798","Ngakobo","ACTED","16228","INCIDENTS","2015-02-06","2015-02-23","0","1000",NA,NA,NA,"Non-securite",NA,NA,"Oui","Violence",NA,NA,NA,"Deplaces",NA,"Point","5.339652,20.730846","20.730846","5.339652","2015-02","2015","Kagas","Ouaka","Bambari","Ngougbia","Non-securite","NA","Oui","Violence","Deplaces"
"Feature","892270109","Agoumar","ACTED","16228","INCIDENTS","2014-12-22","2014-12-23","610","3050",NA,NA,NA,"Non-securite",NA,"Oui","Oui","Violence",NA,NA,NA,"Deplaces",NA,"Point","4.993979,23.917023","23.917023","4.993979","2014-12","2014","Haut-Oubangui","Mbomou","Rafai","Rafai","Non-securite","Oui","Oui","Violence","Deplaces"
"Feature","914915208","Lihoto","ACTED","16228","INCIDENTS","2015-02-08","2015-02-23","1600","1800","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,NA,NA,"Deplaces",NA,"Point","5.312277,20.15837","20.15837","5.312277","2015-02","2015","Kagas","Ouaka","Kouango","Azéngué-Mindou","Oui","Oui","Oui","Violence","Deplaces"
"Feature","951466354","Bogbatoyo","ACF","16228","INCIDENTS","2015-02-14","2015-02-23","0","500","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,NA,NA,"Deplaces",NA,"Point","6.299334,15.605226","15.605226","6.299334","2015-02","2015","Equateur","Nana-Mambéré","Bouar","Herman-Brousse","Oui","Oui","Oui","Violence","Deplaces"
"Feature","996289601","Kabo","SI","16228","INCIDENTS","2015-02-02","2015-02-23","0","0","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,NA,NA,NA,"Autre","Point","7.697565,18.629944","18.629944","7.697565","2015-02","2015","Yadé","Ouham","Kabo","Sido","Oui","Oui","Oui","Violence","Autre"
